epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3878.59,1.47066,1.4648,0.01473,0.73044,0.63871,0.72868,0.48703,1.14991,0.99806,0.01395,0.000759318,0.000759318,0.000759318
57,3947.45,1.45681,1.51539,0.01449,0.68293,0.64329,0.71944,0.48477,1.14828,1.01057,0.01378,0.000742815,0.000742815,0.000742815
58,4016.2,1.43994,1.47344,0.01442,0.719,0.63553,0.72011,0.48679,1.16473,0.99174,0.01417,0.000726312,0.000726312,0.000726312
59,4084.68,1.4459,1.48795,0.01455,0.71868,0.64691,0.72007,0.48629,1.15017,1.01367,0.01422,0.000709809,0.000709809,0.000709809
60,4155.49,1.44232,1.47088,0.01474,0.71681,0.64395,0.72274,0.48333,1.1775,0.99471,0.01429,0.000693305,0.000693305,0.000693305
61,4223.93,1.4304,1.434,0.01434,0.74514,0.62746,0.7178,0.48042,1.16289,1.00636,0.01408,0.000676802,0.000676802,0.000676802
62,4292.65,1.42571,1.43802,0.01431,0.73651,0.64948,0.72885,0.49164,1.1549,0.99632,0.01415,0.000660299,0.000660299,0.000660299
63,4361.99,1.43269,1.45422,0.01414,0.72956,0.6283,0.72577,0.49001,1.1497,0.99971,0.01412,0.000643795,0.000643795,0.000643795
64,4430.34,1.42286,1.41645,0.01416,0.72296,0.6383,0.72689,0.48808,1.17482,0.97486,0.01438,0.000627292,0.000627292,0.000627292
65,4498.9,1.42044,1.41169,0.01394,0.72812,0.62551,0.72189,0.48908,1.16077,0.98426,0.01412,0.000610789,0.000610789,0.000610789
66,4569.21,1.41215,1.41235,0.01392,0.68413,0.64989,0.72218,0.48577,1.15892,0.99736,0.01415,0.000594286,0.000594286,0.000594286
67,4638.02,1.40906,1.42835,0.01399,0.69788,0.64005,0.72334,0.4864,1.15552,0.97668,0.01408,0.000577782,0.000577782,0.000577782
68,4707.07,1.43288,1.41837,0.01429,0.7199,0.64649,0.72432,0.49211,1.1561,0.9672,0.01402,0.000561279,0.000561279,0.000561279
69,4777.24,1.4049,1.35964,0.014,0.68206,0.67177,0.72521,0.4875,1.16101,0.97755,0.0142,0.000544776,0.000544776,0.000544776
70,4846.51,1.39403,1.36713,0.01387,0.71973,0.64013,0.72493,0.49063,1.14842,0.98287,0.01377,0.000528272,0.000528272,0.000528272
71,4915.73,1.40386,1.36961,0.01384,0.74891,0.6272,0.7309,0.49082,1.16939,0.94251,0.01398,0.000511769,0.000511769,0.000511769
72,4985.82,1.39009,1.37057,0.01398,0.71618,0.64945,0.72552,0.48773,1.16567,0.97327,0.01402,0.000495266,0.000495266,0.000495266
73,5055.12,1.40138,1.37931,0.01399,0.72089,0.6453,0.73051,0.49182,1.14628,0.97823,0.01386,0.000478762,0.000478762,0.000478762
74,5125.55,1.39205,1.33591,0.0139,0.76697,0.61197,0.72785,0.48913,1.15165,0.97491,0.01393,0.000462259,0.000462259,0.000462259
75,5194.75,1.3829,1.34564,0.01375,0.73551,0.6409,0.73252,0.49433,1.1473,0.94421,0.0137,0.000445756,0.000445756,0.000445756
76,5263.98,1.40106,1.33457,0.01388,0.71674,0.65663,0.73178,0.49178,1.14653,0.97996,0.01372,0.000429253,0.000429253,0.000429253
77,5333.77,1.38786,1.30316,0.01382,0.71474,0.64659,0.72671,0.48613,1.14336,0.97906,0.01386,0.000412749,0.000412749,0.000412749
78,5402.66,1.35623,1.27187,0.0136,0.70679,0.66106,0.73076,0.49421,1.15698,0.97482,0.01398,0.000396246,0.000396246,0.000396246
79,5471.4,1.36842,1.3038,0.01346,0.74141,0.63509,0.72969,0.49358,1.14706,0.97096,0.01384,0.000379743,0.000379743,0.000379743
80,5541.03,1.36327,1.28161,0.01347,0.7231,0.66427,0.73823,0.49842,1.12757,0.99436,0.01347,0.000363239,0.000363239,0.000363239
81,5611.55,1.36622,1.29859,0.01351,0.70253,0.65927,0.72742,0.49175,1.13676,0.99602,0.01365,0.000346736,0.000346736,0.000346736
82,5680.91,1.37621,1.27825,0.01349,0.74455,0.65211,0.7352,0.49172,1.16752,0.96114,0.01408,0.000330233,0.000330233,0.000330233
83,5751.45,1.37011,1.28505,0.01358,0.69391,0.67006,0.73062,0.49454,1.15122,0.9691,0.01388,0.000313729,0.000313729,0.000313729
84,5820.89,1.3755,1.2639,0.01345,0.72077,0.65641,0.73351,0.49588,1.13485,0.98461,0.0136,0.000297226,0.000297226,0.000297226
85,5891.1,1.34459,1.23331,0.01322,0.75293,0.63494,0.73117,0.49314,1.14777,0.97692,0.01389,0.000280723,0.000280723,0.000280723
86,5961.24,1.35105,1.25486,0.01312,0.75233,0.6434,0.73625,0.49271,1.15867,0.96773,0.01393,0.00026422,0.00026422,0.00026422
87,6030.44,1.37123,1.28065,0.0136,0.74744,0.63631,0.73162,0.49398,1.14443,0.97358,0.01362,0.000247716,0.000247716,0.000247716
88,6100.87,1.34652,1.24288,0.01319,0.69873,0.67164,0.72983,0.4957,1.14306,0.97774,0.01369,0.000231213,0.000231213,0.000231213
89,6169.82,1.33892,1.23592,0.01341,0.74921,0.6462,0.73405,0.49459,1.14696,0.98198,0.01373,0.00021471,0.00021471,0.00021471
90,6239.49,1.34797,1.22493,0.01323,0.7505,0.6475,0.73253,0.49073,1.15508,0.97116,0.0138,0.000198206,0.000198206,0.000198206
91,6309.64,1.41822,1.12844,0.01715,0.72767,0.65056,0.73108,0.48947,1.16491,0.97172,0.01407,0.000181703,0.000181703,0.000181703
92,6376.31,1.37456,1.07349,0.01651,0.72713,0.64132,0.72658,0.49019,1.16776,0.9593,0.01406,0.0001652,0.0001652,0.0001652
93,6442.79,1.36859,1.06898,0.01642,0.72461,0.65023,0.72798,0.49016,1.15756,0.98328,0.01368,0.000148696,0.000148696,0.000148696
94,6509.2,1.36396,1.05261,0.01634,0.73049,0.64671,0.73099,0.49415,1.15756,0.96067,0.01389,0.000132193,0.000132193,0.000132193
95,6575.89,1.35047,1.04169,0.01606,0.73773,0.6472,0.72837,0.49281,1.14933,0.9708,0.01367,0.00011569,0.00011569,0.00011569
96,6642.32,1.34942,1.02701,0.01585,0.74193,0.64592,0.73106,0.49598,1.16142,0.95602,0.01394,9.91865e-05,9.91865e-05,9.91865e-05
97,6708.7,1.3489,1.01284,0.01607,0.76162,0.62837,0.73072,0.49555,1.16244,0.96124,0.01391,8.26832e-05,8.26832e-05,8.26832e-05
98,6775.23,1.35257,0.99622,0.01609,0.74755,0.64266,0.73421,0.49671,1.15541,0.96906,0.01381,6.61799e-05,6.61799e-05,6.61799e-05
99,6841.69,1.37027,1.01895,0.01621,0.76391,0.64394,0.73711,0.49769,1.15425,0.96739,0.0138,4.96766e-05,4.96766e-05,4.96766e-05
100,6908.41,1.35738,1.00769,0.01646,0.74948,0.65708,0.73727,0.49654,1.15455,0.97288,0.01381,3.31733e-05,3.31733e-05,3.31733e-05
